category,subcategory,keywords,confidence
"INCOME","SALARY","salary|payroll|wages|monthly.*pay|hiyacar.*salary|ostt.*ostt|hiyacar.*limited.*f.*salary|limited.*f.*salary|salary.*payment|payment.*salary|monthly.*salary|weekly.*salary|monthly.*wages|weekly.*wages|ostt|ostt.*payment|hiyacar.*limited|hiyacar.*payment|f.*salary|limited.*salary|salary.*credit|credit.*salary|wages.*payment|payroll.*payment|monthly.*income|income.*monthly|monthly.*credit|employment.*payment|employment.*income|employer.*payment|company.*payment|payment.*employer|direct.*credit.*salary|salary.*credit|credit.*salary|wages.*payment|payroll.*payment|salary.*transfer|transfer.*salary|wage.*transfer|transfer.*wage|payroll.*transfer|transfer.*payroll|monthly.*transfer|transfer.*monthly|employment.*transfer|transfer.*employment|employer.*transfer|transfer.*employer|company.*transfer|transfer.*company",1.0
"INCOME","SALARY","limited.*salary|ltd.*salary|salary.*payment|hiyacar|ostt|f.*salary",0.95
"INCOME","SALARY","monthly.*income|income.*monthly|monthly.*credit|employment.*payment|employment.*income",0.9
"INCOME","SALARY","employer.*payment|company.*payment|payment.*employer|ostt",0.85
"INCOME","SALARY","direct.*credit.*salary|salary.*credit|credit.*salary|wages.*payment|payroll.*payment",0.8

HOUSING,RENT,"rent,mortgage,board,student accommodation,landlord,leasehold,property,tenancy,room payment,room rent,ref: room,ref: rent"
HOUSING,UTILITIES,"Severn Trent Water,water,gas,electricity,mobile,phone,internet,tv licence,council tax,broadband,waste,sewerage,energy,utility bill,smart meter,bill payment,electricity bill,broadband payment,utility payment,ref: electricity,ref: broadband,ref: utilities,ref: council tax,o2,vodafone,ee,three,o2 mobile"
HOUSING,MAINTENANCE,"repair,renovation,diy,home improvement,plumbing,electrical work,decoration,gardening,tools,maintenance,fix,repair service"
HOUSING,PROPERTY_TAX,"stamp duty,property tax,land registry,valuation,property assessment,council charges"

TRANSFERS,BANK_TRANSFER,"received from,transfer to sort code,transfer from sort code,ref: mobile-channel,ref: transfer,account transfer,bank transfer,money transfer,ref: monzo,ref: revolut,ref: wise,faster payments,chaps,bacs,transfer to sort code,ref: mobile-channel,transfer to sort code"
TRANSFERS,STANDING_ORDER,"standing order,regular payment,direct to,s/o ref"
TRANSFERS,DIRECT_DEBIT,"direct debit,dd ref,d/d,dd payment"

FOOD,GROCERIES,"tesco,asda,sainsbury,lidl,aldi,morrisons,waitrose,m&s food,co-op,iceland,groceries,supermarket,farm shop,organic,health food,food shopping,grocery delivery,ocado"
FOOD,TAKEAWAY,"deliveroo,uber eats,just eat,takeaway,mcdonalds,kfc,pizza,dominos,restaurant delivery,food delivery,delivery fee,five guys,burger king,subway,greggs,toogoodtog,too good to go"
FOOD,ALCOHOL,"wine,beer,spirits,pub,bar,liquor store,off licence,brewery,wetherspoons,revolution,slug and lettuce"
FOOD,DINING_OUT,"restaurant,cafe,coffee shop,brunch,lunch,dinner,dining,eatery,starbucks,costa,pret,nero,wagamama,nandos,zizzi,pizza express,paddy & scotts,scotts ambitio,small square c,botanica cheltenham,wacka wago,little italy e,hamilton hall,itsu,island poke,poke london"

TRANSPORT,CAR,"petrol,fuel,car maintenance,car loan,parking,mot,service,car insurance,breakdown cover,road tax,vehicle excise duty,car wash,tyres,vehicle repair,shell,bp,esso,texaco,dvla,rv56myb,j holmes car,car payment,car transfer"
TRANSPORT,PUBLIC,"train,bus,taxi,uber,transport,national rail,london underground,tube,metro,tram,oyster card,travel card,trainline,gwr,southern railway,tfl,arriva,bolt.eu,bolt london"
TRANSPORT,TRAVEL,"flight,hotel,airbnb,holiday,travel insurance,car hire,passport,visa,booking.com,expedia,easyjet,ryanair,british airways,virgin atlantic,hotels.com,lastminute,thorneloe m v travel,travel payment"
TRANSPORT,BICYCLE,"bicycle purchase,bicycle repair,cycling gear,cycle insurance,bike maintenance,halfords,evans cycles"

ENTERTAINMENT,SUBSCRIPTIONS,"lingoda,netflix,disney+,spotify,amazon prime,apple tv,now tv,youtube premium,streaming,subscription,monthly subscription,audible,xbox live,playstation plus,nintendo online"
ENTERTAINMENT,ACTIVITIES,"cinema,theatre,concert,festival,comedy club,sports event,museum,art gallery,entertainment venue,odeon,vue,cineworld,ticketmaster,o2 arena,royal albert hall"
ENTERTAINMENT,HOBBIES,"gaming,books,music,craft supplies,photography,equipment,hobby shop,craft store,waterstones,game,hmv,hobby craft,ryman"
ENTERTAINMENT,OUTDOOR_ACTIVITIES,"camping,bluehillscampi,campsite,outdoor equipment,hiking,climbing,tent rental,caravan"

SHOPPING,GENERAL,"amazon,ebay,asos,next,h&m,zara,primark,tk maxx,john lewis,marks & spencer,argos,currys,apple store,samsung,ikea,ikea ltd,milton keynes ikea"
SHOPPING,ONLINE_MARKETPLACE,"amazon marketplace,ebay,etsy,not on the high street,vinted,depop"
SHOPPING,DEPARTMENT_STORES,"john lewis,debenhams,house of fraser,selfridges,harrods,harvey nichols"

PERSONAL,CARE,"haircut,salon,beauty,therapy,grooming,cosmetics,skincare,hairdresser,beauty products,superdrug,boots,the body shop,lush"
PERSONAL,TECHNOLOGY,"smartphone,laptop,tablet,computer,electronics,gadgets,tech accessories,currys,pc world,apple store,carphone warehouse"
PERSONAL,CLOTHING,"clothing,fashion,shoes,accessories,online shopping,boutique,apparel,footwear,sports direct,jd sports,schuh"

HEALTHCARE,MEDICAL,"prescription,pharmacy,optician,dentist,doctor,medicine,health check,medical test,health insurance,boots pharmacy,lloyds pharmacy,specsavers,vision express"
HEALTHCARE,FITNESS,"gym,fitness,sports,yoga,pilates,personal trainer,fitness equipment,workout,exercise,pure gym,virgin active,fitness first,nuffield health,legacy leisure,leisure centre,sports centre,leisure"
HEALTHCARE,WELLNESS,"massage,therapy,counselling,alternative medicine,supplements,wellness center,holland & barrett"

INCOME,REFUND,"refund,refunded,reimbursement,cashback,money back,returned payment"
INCOME,BILL_SHARE,"received from ref water,received from ref utilities,received from ref food,received from ref bills,water payment,utility payment,bill share"
INCOME,EXPENSE_SHARE,"received from ref weekend,received from ref share,expense share,cost share,shared payment"
INCOME,REGULAR_PAYMENT,"received from ref mandd,received from ref salary,regular payment,monthly payment,wage payment"
